scaling_type,resource_level,elapsed_seconds,performance_index,estimated_cost_usd
strong,2,0.3669393062591553,1.0,4.0771034028795034e-05
strong,4,0.19658207893371582,1.8665959188623753,4.368490642971463e-05
strong,8,0.19362998008728027,1.895054196120634,8.605776892768012e-05
strong,16,0.16441917419433594,2.2317306242242148,0.00014615037706163195
weak,2,0.19849300384521484,1.0,2.2054778205023875e-05
weak,4,0.13555002212524414,1.4643387620617298,3.0122227138943143e-05
weak,8,0.17131280899047852,1.1586607512432968,7.613902621799046e-05
weak,16,0.19829559326171875,1.0009950377825858,0.00017626274956597223
